27/04/2024	Postos Angeloni 66	R$ 144,99
04/04/2024	Centauro - Ce 89 (02/02)	R$ 164,98
27/03/2024	Biavatti Blumenau (03/12)	R$ 59,90
15/03/2024	Ipcell (03/04)	R$ 1.040,57
11/03/2024	Biavatti Blumenau (03/12)	R$ 87,39
10/10/2023	Pag*Aplpreparacao (08/10)	R$ 456,70
30/04/2024	Force One Academi	R$ 119,90
30/04/2024	Ifd*Lanches Alameda Lt	R$ 26,42
29/04/2024	Amazon Prime Canais	R$ 14,90
28/04/2024	Pag*Quierocafe	R$ 76,20
28/04/2024	Cooper Filial Vila Nov	R$ 231,18
27/04/2024	Ifd*Adiser Comercio De	R$ 35,67
26/04/2024	Ifd*Luiz Fernando Heme	R$ 17,48
26/04/2024	Ifd*Ifood	R$ 6,89
26/04/2024	Ifd*Frango Com Tudo Ga	R$ 44,99
26/04/2024	Ifd*Ifood	R$ 2,99
25/04/2024	Apple.Com/Bill	R$ 4,90
25/04/2024	Ifd*Luiz Fernando Heme	R$ 19,73
25/04/2024	Supermercados Angeloni	R$ 24,87
25/04/2024	Supermercados Angeloni	R$ 90,28
25/04/2024	Ifd*Arcos Dourados Com	R$ 38,89
12/04/2024	Privalia Bra*Privali(02/02)	R$ 64,99
03/04/2024	Amazon Br (02/02)	R$ 72,49
22/01/2024	Paypal *A Angeloni (05/10)	R$ 409,65
22/12/2023	Electrolux Loja_Elec(06/10)	R$ 80,89
22/12/2023	Hub*Kabum (06/10)	R$ 225,15
13/12/2023	Amazon Marketplace (06/10)	R$ 69,99
08/08/2023	Casasba*Casas Bahia (10/10)	R$ 269,90
